"Област","Община","Населено място","Район","Име на институцията","Вид на институцията","Вид на институцията - детайлен","Вид на институцията според начина на финансиране"
"София-град","Столична","София","Възраждане","5.Вечерно СУ""П.Пенев""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Сердика","ПГИИРЕ","неспециализирано","профилирана гимназия","Държавно"
"София-град","Столична","София","Възраждане","НПГПТО ""М.В.Ломоносов""","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Възраждане","ПГТКИ","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Възраждане","ПГ по ПСТТ","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Възраждане","ЧПГ ЕВРОСТАНДАРТ","неспециализирано","професионална гимназия","Частно"
"София-град","Столична","София","Оборище","ЧПГЧО "" Езиков свят""","неспециализирано","профилирана гимназия","Частно"
"София-град","Столична","София","Надежда","ЧСУ ""ВЕДА""","неспециализирано","средно","Частно"
"София-град","Столична","София","Студентски","ЧОУ ""Светлина""","неспециализирано","основно","Частно"
"София-град","Столична","София","Оборище","ЧОУ ""Езиков свят""","неспециализирано","основно","Частно"
"София-град","Столична","София","Искър","Испанско училище","неспециализирано","средно","Частно"
"София-град","Столична","София","Възраждане","НДД","специализирано обслужващо звено","Национален дворец на децата","Държавно"
"София-град","Столична","София","Младост","ЧДГ ""КУЕСТ""","детска градина","детска градина","Частно"
"София-град","Столична","София","Възраждане","Детска градина № 1","детска градина","детска градина","Общинско"
"София-град","Столична","София","Възраждане","ДГ № 194 ""Милувка""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Възраждане","Детска градина №81 ""Лилия""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Възраждане","ДГ № 120","детска градина","детска градина","Общинско"
"София-град","Столична","София","Възраждане","ДГ № 50 ""Зайчето Куики""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Възраждане","ДГ № 119 ""Детска планета""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Изгрев","11 ОУ Св. Пимен Зографски","неспециализирано","основно","Общинско"
"София-град","Столична","София","Изгрев","105. СУ ""Атанас Далчев""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Изгрев","119 СУ ""Академик М. Арнаудов""","неспециализирано","средно","Общинско"
"София-град","Столична","София","Изгрев","СПГЕ ""Джон Атанасов""","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Изгрев","СПГ ""Княгиня Евдокия""","неспециализирано","професионална гимназия","Държавно"
"София-град","Столична","София","Студентски","ЧЕГ ""Проф.Ив.Апостолов""","неспециализирано","профилирана гимназия","Частно"
"София-град","Столична","София","Изгрев","ЧОУ "" Св. Климент Охридски""","неспециализирано","основно","Частно"
"София-град","Столична","София","Изгрев","Детска Академия","детска градина","детска градина","Частно"
"София-град","Столична","София","Изгрев","ДГ №165 ""Латинка""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Изгрев","ДГ № 30 ""РАДЕЦКИ""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Изгрев","ДГ № 34 ""Брезичка""","детска градина","детска градина","Общинско"
"София-град","Столична","София","Изгрев","ДГ № 49 ""Радост""","детска градина","детска градина","Общинско"
